mapped_id,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study,x,y,z
AKU,Mambalgin2 ,3FTx,Dendroaspis polylepis polylepis ,Elapidae,10.606452,-0.72617495,3.0683935
AKV,Short neurotoxin OH5 ,3FTx,Ophiophagus hannah ,Elapidae,10.405642,-0.54626024,3.5913792
AKW,Neurotoxin Oh91 ,3FTx,Ophiophagus hannah ,Elapidae,10.078905,-0.35508254,3.6032825
AKX,Short neurotoxin SNTX6 ,3FTx,Ophiophagus hannah ,Elapidae,10.320904,-0.26990452,3.290911
AKY,Short neurotoxin SNTX14 ,3FTx,Ophiophagus hannah ,Elapidae,10.295388,-0.35625854,3.36482
AKZ,Short neurotoxin OH46 ,3FTx,Ophiophagus hannah ,Elapidae,10.337168,-0.38109618,3.5778048
ALA,-,Ly-6,Gallus gallus,Galliformes,9.865252,7.435168,7.4346023
ALB,Short neurotoxin SNTX26 ,3FTx,Ophiophagus hannah ,Elapidae,10.400353,-0.2650427,3.3991537
ALC,Short neurotoxin OH26 ,3FTx,Ophiophagus hannah ,Elapidae,10.221375,-0.549534,3.6325703
ALD,Short neurotoxin OH32 ,3FTx,Ophiophagus hannah ,Elapidae,9.990121,-0.55552965,3.4748952
ALE,Nakoroxin ,3FTx,Naja kaouthia ,Elapidae,10.658603,-1.0529833,3.1031265
ALF,Weak toxin CM2a ,3FTx,Naja annulifera ,Elapidae,11.068457,-1.1075711,3.0405042
ALG,Weak toxin CM3 ,3FTx,Naja annulifera ,Elapidae,11.15313,-0.9155629,3.0208468
ALH,Exactin ,3FTx,Hemachatus haemachatus ,Elapidae,10.666983,-0.61980903,3.130371
ALI,Weak toxin CM1b ,3FTx,Hemachatus haemachatus ,Elapidae,10.834125,-0.5772712,2.9374228
ALJ,Kappa-bungarotoxin ,3FTx,Bungarus multicinctus ,Elapidae,14.477741,7.8830457,-0.7826224
ALK,Alpha-cobratoxin ,3FTx,Naja kaouthia ,Elapidae,16.457626,6.7429566,-0.24482886
ALL,-,Ly-6,Varanus komodoensis,Anguimorpha,9.810822,7.3261237,7.5063887
ALM,LY6K,Ly-6,Homo sapiens,Placentalia,7.673607,6.741367,8.902194
ALN,-,3FTx,Telescopus dhara,Colubridae,11.020957,6.924439,7.9665236
ALO,-,3FTx,Telescopus dhara,Colubridae,10.948472,6.514248,7.9965425
ALP,-,3FTx,Boiga dendrophila dendrophila,Colubridae,8.113665,7.5368485,9.7643175
ALQ,-,3FTx,Boiga nigriceps,Colubridae,8.239698,7.457784,9.658099
ALR,-,3FTx,Boiga dendrophila dendrophila,Colubridae,8.491378,7.5345054,10.189662
ALS,-,3FTx,Boiga trigonata,Colubridae,7.8201513,7.8486333,10.488496
ALT,-,3FTx,Boiga trigonata,Colubridae,8.187075,7.911853,10.681419
ALU,-,3FTx,Boiga dendrophila dendrophila,Colubridae,7.650338,7.335914,11.394576
ALV,-,3FTx,Boiga dendrophila dendrophila,Colubridae,8.181386,7.7375774,10.60059
ALW,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,8.3038845,7.693902,10.959145
ALX,-,Ly-6,Chelonia mydas,Testudines,10.030287,7.2682047,7.6390495
ALY,-,3FTx,Boiga dendrophila dendrophila,Colubridae,8.166996,7.685797,11.001391
ALZ,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,8.6540365,7.6802044,10.43978
AMA,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,8.740617,7.7227616,10.565371
AMB,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,8.970635,7.5286183,10.428841
AMC,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,8.827825,7.614444,10.457512
AMD,-,3FTx,Boiga dendrophila dendrophila,Colubridae,8.952556,7.4468656,10.555615
AME,-,3FTx,Boiga dendrophila dendrophila,Colubridae,8.727105,7.39993,10.679223
AMF,-,3FTx,Boiga dendrophila dendrophila,Colubridae,8.6416855,7.364778,10.677594
AMG,-,3FTx,Boiga dendrophila dendrophila,Colubridae,8.944552,7.423824,10.376217
AMH,-,3FTx,Boiga nigriceps,Colubridae,7.7059608,8.136119,10.800916
AMI,-,Ly-6,Xenopus tropicalis,Anura,-0.024207348,8.885988,-1.9203519
AMJ,-,3FTx,Boiga irregularis,Colubridae,7.8211536,8.107078,10.757685
AMK,-,3FTx,Boiga irregularis,Colubridae,7.608682,8.023318,11.114564
AML,-,3FTx,Boiga irregularis,Colubridae,7.642159,8.405917,11.131617
AMM,-,3FTx,Boiga irregularis,Colubridae,7.723799,8.318124,10.989658
AMN,-,3FTx,Boiga irregularis,Colubridae,7.913873,8.193915,11.191893
AMO,-,3FTx,Boiga irregularis,Colubridae,7.9133186,8.080932,11.038017
AMP,-,3FTx,Boiga irregularis,Colubridae,7.741942,8.348823,11.00036
AMQ,-,3FTx,Boiga irregularis,Colubridae,7.470439,8.089852,10.5212755
AMR,-,3FTx,Boiga irregularis,Colubridae,7.524074,8.292484,10.82236
AMS,-,3FTx,Boiga irregularis,Colubridae,7.4513607,8.101177,10.631621
AMT,PSCA (prostate stem cell antigen),Ly-6,Homo sapiens,Placentalia,-0.44120583,7.241157,-1.4576184
AMU,-,3FTx,Boiga irregularis,Colubridae,7.4756875,8.201023,10.498778
AMV,-,3FTx,Boiga irregularis,Colubridae,7.3493357,7.2314553,11.0796
AMW,-,3FTx,Boiga irregularis,Colubridae,7.230704,6.9976945,11.2660055
AMX,-,3FTx,Boiga irregularis,Colubridae,6.9851847,6.9305935,11.281277
AMY,-,3FTx,Boiga irregularis,Colubridae,7.0684147,6.9054217,11.419473
AMZ,-,3FTx,Boiga irregularis,Colubridae,7.226375,7.152584,11.354146
ANA,-,3FTx,Boiga irregularis,Colubridae,6.9084496,6.9976225,11.109785
ANB,-,3FTx,Boiga irregularis,Colubridae,7.9128265,7.1983466,10.221165
ANC,-,3FTx,Boiga irregularis,Colubridae,7.8448706,7.439853,10.342909
AND,-,3FTx,Boiga irregularis,Colubridae,7.6823115,7.076858,10.537138
ANE,-,Ly-6,Alligator sinensis,Crocodilia,-0.736179,8.850318,-1.4418699
ANF,-,3FTx,Boiga irregularis,Colubridae,7.7105374,7.3446856,10.605939
ANG,-,3FTx,Boiga dendrophila dendrophila,Colubridae,10.625656,6.554878,8.141444
ANH,-,3FTx,Boiga nigriceps,Colubridae,10.802592,6.667433,9.086432
ANI,-,3FTx,Boiga irregularis,Colubridae,10.610098,6.6703005,9.476948
ANJ,-,3FTx,Boiga irregularis,Colubridae,10.916334,6.5645027,9.198245
ANK,-,3FTx,Boiga irregularis,Colubridae,10.980084,6.7436013,9.290277
ANL,-,3FTx,Boiga irregularis,Colubridae,10.922462,6.522377,9.219149
ANM,-,3FTx,Boiga irregularis,Colubridae,10.84991,6.3906074,8.942968
ANN,-,3FTx,Boiga irregularis,Colubridae,11.039873,6.765828,9.069254
ANO,-,3FTx,Boiga irregularis,Colubridae,10.820536,6.6657267,9.111605
ANP,-,Ly-6,Gallus gallus,Galliformes,-0.75431883,8.838816,-1.5189862
ANQ,-,3FTx,Oxybelis fulgidus,Colubridae,11.461363,6.741919,8.692653
ANR,-,3FTx,Trimorphodon lambda,Colubridae,11.095393,6.4848447,8.619077
ANS,-,3FTx,Boiga dendrophila dendrophila,Colubridae,11.316687,7.261524,8.761789
ANT,-,3FTx,Boiga dendrophila dendrophila,Colubridae,11.325402,7.0565524,8.492495
ANU,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,11.13085,7.1877155,9.026997
ANV,-,3FTx,Boiga dendrophila dendrophila,Colubridae,10.937284,7.1571417,8.699171
ANW,-,3FTx,Boiga dendrophila dendrophila,Colubridae,10.982725,7.5134854,8.506825
ANX,-,3FTx,Boiga dendrophila dendrophila,Colubridae,10.990438,6.984692,8.73619
ANY,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,10.912772,7.03802,8.973086
ANZ,-,3FTx,Boiga dendrophila dendrophila,Colubridae,11.194906,7.5664725,8.727856
AOA,-,3FTx,Boiga dendrophila dendrophila,Colubridae,11.021619,7.7351923,8.549759
AOB,-,3FTx,Boiga dendrophila dendrophila,Colubridae,11.0220175,7.8128366,8.430536
AOC,-,3FTx,Boiga dendrophila dendrophila,Colubridae,10.579246,7.4151425,8.662503
AOD,-,3FTx,Boiga dendrophila dendrophila,Colubridae,10.676753,7.397765,8.639735
AOE,-,3FTx,Boiga dendrophila dendrophila,Colubridae,10.83035,7.645955,8.438236
AOF,-,3FTx,Boiga trigonata,Colubridae,12.587393,6.8210607,8.581221
AOG,-,3FTx,Boiga cynodon,Colubridae,12.56647,6.8011475,8.3393345
AOH,-,3FTx,Boiga irregularis,Colubridae,12.516513,7.2976427,8.575496
AOI,-,3FTx,Boiga irregularis,Colubridae,12.13385,7.4339104,8.684578
AOJ,-,3FTx,Boiga irregularis,Colubridae,12.126648,7.43906,8.718237
AOK,-,3FTx,Boiga irregularis,Colubridae,12.240782,7.594829,8.446641
AOL,-,3FTx,Boiga irregularis,Colubridae,12.294775,7.4100986,8.721041
AOM,-,3FTx,Boiga nigriceps,Colubridae,12.527833,7.443935,8.4157
AON,-,3FTx,Boiga nigriceps,Colubridae,12.183134,7.328782,8.700184
AOO,-,3FTx,Boiga irregularis,Colubridae,12.371721,7.2329664,8.67217
AOP,-,3FTx,Boiga irregularis,Colubridae,12.34284,7.3512154,8.773333
AOQ,-,3FTx,Boiga irregularis,Colubridae,12.194299,7.2671638,8.933256
AOR,-,3FTx,Boiga irregularis,Colubridae,12.281603,7.178993,8.856223
AOS,-,3FTx,Boiga irregularis,Colubridae,12.445401,7.3047776,8.77876
AOT,-,3FTx,Boiga irregularis,Colubridae,12.492652,7.4396796,8.786133
AOU,-,3FTx,Boiga irregularis,Colubridae,12.565201,7.167144,8.703095
AOV,-,3FTx,Boiga irregularis,Colubridae,12.39412,6.6599417,8.173874
AOW,-,3FTx,Boiga irregularis,Colubridae,12.442957,6.8787727,8.386447
AOX,-,3FTx,Boiga irregularis,Colubridae,12.198668,6.6806517,8.477274
AOY,-,3FTx,Boiga irregularis,Colubridae,12.131641,6.657558,8.3712435
AOZ,-,3FTx,Boiga irregularis,Colubridae,12.185371,6.927923,8.08739
APA,-,3FTx,Boiga irregularis,Colubridae,12.309309,6.997102,8.075762
APB,-,3FTx,Boiga irregularis,Colubridae,12.182049,6.85409,8.062064
APC,-,3FTx,Boiga irregularis,Colubridae,12.616001,6.9117684,8.197531
APD,-,3FTx,Boiga irregularis,Colubridae,12.428139,7.0672946,8.252536
APE,-,3FTx,Boiga irregularis,Colubridae,12.527998,7.1674123,7.911589
APF,-,3FTx,Boiga dendrophila dendrophila,Colubridae,11.512369,8.096279,8.463569
APG,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,11.618433,8.063315,8.175512
APH,-,3FTx,Boiga dendrophila dendrophila,Colubridae,11.529503,7.9186826,8.172371
API,-,3FTx,Boiga dendrophila dendrophila,Colubridae,11.47891,7.851555,8.258717
APJ,-,3FTx,Boiga dendrophila dendrophila,Colubridae,11.550006,7.8482203,8.286735
APK,-,3FTx,Boiga dendrophila dendrophila,Colubridae,11.702234,7.880917,8.196649
APL,-,3FTx,Boiga nigriceps,Colubridae,11.877401,7.749689,8.865082
APM,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,11.654518,7.7837405,8.628953
APN,-,3FTx,Boiga dendrophila dendrophila,Colubridae,11.449592,7.7333384,8.651355
APO,-,3FTx,Boiga dendrophila dendrophila,Colubridae,11.688077,7.650487,8.744228
APP,-,3FTx,Trimorphodon lambda,Colubridae,10.789299,6.3020015,9.053892
APQ,-,3FTx,Trimorphodon lambda,Colubridae,10.667822,6.3518305,9.121385
APR,-,Ly-6,Chelonia mydas,Testudines,-0.5416529,8.689118,-1.2449572
APS,-,Ly-6,Varanus komodoensis,Anguimorpha,-0.4477785,8.898825,-1.34004
APT,-,Ly-6,Anolis carolinensis,Dactyloidae,-0.53417164,9.028516,-1.3890349
APU,-,Ly-6,Pogona vitticeps,Agamidae,-0.42706114,9.14297,-1.8432193
APV,-,snake genomic,Python bivittatus,Pythonidae,-0.80322236,9.026323,-1.8485651
APW,LY6L,Ly-6,Homo sapiens,Placentalia,-0.45583245,6.9352517,-1.4731243
APX,-,3FTx,Micrurus_ tener,Elapidae,11.62486,-2.384257,8.461689
APY,-,3FTx,Micrurus_ tener,Elapidae,11.6577,-2.3495193,8.455969
APZ,-,3FTx,Micrurus browni,Elapidae,11.944838,-2.143686,8.345131
AQA,-,3FTx,Micrurus browni,Elapidae,11.910491,-2.1245003,8.323093
AQB,-,3FTx,Micrurus diastema,Elapidae,11.846034,-2.21411,8.399458
AQC,-,3FTx,Micrurus fulvius,Elapidae,9.086411,3.6435275,1.4861828
AQD,-,3FTx,Micrurus diastema,Elapidae,9.358742,3.3766556,1.9437622
AQE,-,snake genomic,Naja naja,Elapidae,-0.6676028,8.681532,-1.6091633
AQF,-,3FTx,Micrurus_ tener,Elapidae,9.485502,3.3683777,2.1133506
AQG,-,3FTx,Micrurus fulvius,Elapidae,9.403699,3.3498201,1.7539668
AQH,-,3FTx,Micrurus fulvius,Elapidae,9.151301,3.5931106,1.599695
AQI,-,3FTx,Micrurus fulvius,Elapidae,9.256023,3.4915557,1.7824624
AQJ,-,3FTx,Micrurus_ tener,Elapidae,9.321006,3.5085227,1.8467281
AQK,-,3FTx,Micrurus fulvius,Elapidae,9.165444,3.547318,1.6017216
AQL,-,3FTx,Micrurus_ tener,Elapidae,9.180265,3.7934086,2.0313618
AQM,-,3FTx,Micrurus_ tener,Elapidae,9.144379,3.817864,1.9906746
AQN,-,3FTx,Micrurus_ tener,Elapidae,9.274154,3.633072,1.8266892
AQO,-,3FTx,Micrurus_ tener,Elapidae,9.08416,3.7628434,1.7706136
AQP,-,snake genomic,Pseudonaja textilis,Elapidae,-0.8602776,8.989844,-1.9336332
AQQ,-,3FTx,Micrurus_ tener,Elapidae,9.051847,3.8045683,1.9427763
AQR,-,3FTx,Micrurus_ tener,Elapidae,9.141415,3.7125924,1.8865114
AQS,-,3FTx,Micrurus_ tener,Elapidae,10.994995,3.6531997,7.1267633
AQT,-,3FTx,Micrurus laticollaris,Elapidae,10.35802,0.58762777,1.3410969
AQU,-,3FTx,Micrurus fulvius,Elapidae,10.107152,0.37929434,1.006862
AQV,-,3FTx,Micrurus_ tener,Elapidae,10.171789,0.20756364,1.001507
AQW,-,3FTx,Micrurus altirostris,Elapidae,9.722172,1.0235015,1.010887
AQX,-,3FTx,Micrurus browni,Elapidae,9.920247,1.052829,1.0663024
AQY,-,3FTx,Micrurus frontalis,Elapidae,9.40659,1.3429897,-0.52596956
AQZ,-,3FTx,Micrurus browni,Elapidae,9.356729,1.211015,0.20710559
ARA,-,Ly-6,Phascolarctos cinctus,Marsupials,-1.0641648,7.2473435,-2.236426
ARB,-,3FTx,Micrurus diastema,Elapidae,9.01348,1.0345353,0.012462311
ARC,-,3FTx,Micrurus_ tener,Elapidae,8.918112,0.9695305,-0.13933542
ARD,-,3FTx,Micrurus_ tener,Elapidae,8.947369,1.0245389,-0.122259304
ARE,-,3FTx,Calliophis bivirgatus,Elapidae,9.958349,-0.65054536,4.3362975
ARF,-,3FTx,Calliophis bivirgatus,Elapidae,9.999777,-0.5190572,5.095028
ARG,-,3FTx,Calliophis bivirgatus,Elapidae,9.964993,-0.47910425,4.637638
ARH,-,3FTx,Calliophis bivirgatus,Elapidae,9.938365,-0.43915907,4.730399
ARI,-,3FTx,Calliophis bivirgatus,Elapidae,10.936539,-0.0359644,3.6443102
ARJ,-,3FTx,Calliophis bivirgatus,Elapidae,9.756148,-0.29176417,4.0055385
ARK,-,3FTx,Calliophis bivirgatus,Elapidae,9.896054,-0.29025427,4.196264
ARL,-,Ly-6,Ornithorhynchus anatinus,Monotremata,-0.7126893,7.4348083,-1.3580067
ARM,-,3FTx,Calliophis bivirgatus,Elapidae,9.632609,-0.34541067,3.590446
ARN,-,3FTx,Calliophis bivirgatus,Elapidae,9.358355,-0.14098334,3.384812
ARO,-,3FTx,Calliophis bivirgatus,Elapidae,9.347036,-0.22535013,3.3058798
ARP,-,3FTx,Calliophis bivirgatus,Elapidae,9.301757,0.073737025,3.1366417
ARQ,-,3FTx,Calliophis bivirgatus,Elapidae,8.75789,-0.14090975,2.901081
ARR,-,3FTx,Calliophis bivirgatus,Elapidae,8.774568,-0.10294378,2.8457358
ARS,-,3FTx,Calliophis bivirgatus,Elapidae,8.752679,-0.14098051,2.8565536
ART,-,3FTx,Calliophis bivirgatus,Elapidae,8.957374,-0.13967925,2.880262
ARU,-,3FTx,Calliophis bivirgatus,Elapidae,8.661076,0.011479608,3.154321
ARV,-,3FTx,Calliophis bivirgatus,Elapidae,8.7839,-0.30120507,3.0303514
ARW,-,Ly-6,Xenopus tropicalis,Anura,-0.18059811,8.53287,-1.6028622
ARX,-,3FTx,Calliophis bivirgatus,Elapidae,8.871472,0.15096764,3.3480601
ARY,-,3FTx,Calliophis bivirgatus,Elapidae,8.980167,-0.101219006,3.7263262
ARZ,-,3FTx,Calliophis bivirgatus,Elapidae,8.929704,-0.041298088,3.352759
ASA,-,3FTx,Calliophis bivirgatus,Elapidae,8.698021,-0.34146228,3.5595803
ASB,-,3FTx,Calliophis bivirgatus,Elapidae,8.928764,-0.030932218,3.4024167
ASC,-,3FTx,Calliophis bivirgatus,Elapidae,9.126712,-0.23062189,3.4226391
ASD,-,3FTx,Calliophis bivirgatus,Elapidae,9.042752,-0.22285831,3.5082242
ASE,-,3FTx,Calliophis bivirgatus,Elapidae,8.976122,-0.1272924,3.4445963
ASF,-,3FTx,Calliophis bivirgatus,Elapidae,8.789435,-0.2684649,3.247508
ASG,-,3FTx,Micrurus diastema,Elapidae,14.047976,5.5497317,1.248975
ASH,-,Ly-6,Xenopus tropicalis,Anura,10.953296,6.629716,7.009893
ASI,-,3FTx,Micrurus diastema,Elapidae,14.568394,5.963749,0.8575748
ASJ,-,3FTx,Micrurus browni,Elapidae,14.496845,6.0235767,0.80034363
ASK,-,3FTx,Micrurus laticollaris,Elapidae,14.037417,5.7359176,0.93894994
ASL,-,3FTx,Micrurus laticollaris,Elapidae,13.937617,5.816295,0.960053
ASM,-,3FTx,Micrurus fulvius,Elapidae,13.924494,5.7589707,1.0176482
ASN,-,3FTx,Micrurus fulvius,Elapidae,13.960223,5.8129606,0.94133216
ASO,-,3FTx,Micrurus_ tener,Elapidae,14.058521,5.864964,1.0880492
ASP,-,3FTx,Micrurus fulvius,Elapidae,14.100858,5.9075084,1.0290468
ASQ,-,3FTx,Micrurus fulvius,Elapidae,14.1677475,6.080364,1.0721236
ASR,-,3FTx,Micrurus_ tener,Elapidae,13.912225,5.978804,0.92589355
ASS,-,Ly-6,Xenopus tropicalis,Anura,-0.014859137,8.92026,-1.5988709
AST,-,3FTx,Micrurus fulvius,Elapidae,14.310001,5.750544,1.2206632
ASU,-,3FTx,Micrurus fulvius,Elapidae,14.029337,5.7083764,1.1368024
ASV,-,3FTx,Micrurus browni,Elapidae,10.668745,-0.096742995,3.3568327
ASW,-,3FTx,Micrurus corallinus,Elapidae,10.787365,-0.047173418,3.3836467
ASX,-,3FTx,Micrurus_ tener,Elapidae,11.375177,-0.62351865,4.264176
ASY,-,3FTx,Micrurus fulvius,Elapidae,11.119278,-0.28822118,4.394719
ASZ,-,3FTx,Micrurus_ tener,Elapidae,11.114149,-0.29390883,4.0246744
ATA,-,3FTx,Micrurus fulvius,Elapidae,10.985062,-0.32762724,4.0688477
ATB,-,3FTx,Micrurus fulvius,Elapidae,11.146266,-0.29777694,4.163505
ATC,-,3FTx,Micrurus fulvius,Elapidae,11.092336,-0.2865779,4.1244316
ATD,-,Ly-6,Xenopus tropicalis,Anura,0.0032537824,8.98151,-1.5084256
ATE,-,3FTx,Micrurus_ tener,Elapidae,10.798024,-0.38678634,4.672037
ATF,-,3FTx,Micrurus corallinus,Elapidae,10.994671,-0.40659443,4.7058325
ATG,-,3FTx,Micrurus_ tener,Elapidae,10.937216,-0.57752484,4.708468
ATH,-,3FTx,Micrurus fulvius,Elapidae,10.9790325,-0.45286262,4.7924848
ATI,-,3FTx,Micrurus fulvius,Elapidae,10.918994,-0.49862695,4.634379
ATJ,-,3FTx,Micrurus laticollaris,Elapidae,11.219133,-0.8036909,3.5811148
ATK,-,3FTx,Micrurus laticollaris,Elapidae,11.548243,-0.83910054,3.7254293
ATL,-,3FTx,Micrurus fulvius,Elapidae,11.199768,-1.6510621,3.1303277
ATM,-,3FTx,Micrurus_ tener,Elapidae,11.092672,-1.6831776,3.2057123
ATN,-,3FTx,Micrurus_ tener,Elapidae,11.010481,-1.9437522,3.075617
ATO,-,Ly-6,Xenopus tropicalis,Anura,-0.15040872,8.616122,-1.5561687
ATP,-,3FTx,Micrurus_ tener,Elapidae,11.126465,-1.745035,3.046985
ATQ,-,3FTx,Micrurus_ tener,Elapidae,11.023294,-1.8150029,3.0687492
ATR,-,3FTx,Micrurus_ tener,Elapidae,11.058818,-1.8830502,3.0391345
ATS,-,3FTx,Micrurus_ tener,Elapidae,11.083966,-1.8023607,3.2141721
ATT,-,3FTx,Micrurus_ tener,Elapidae,11.398432,-0.7998197,3.6171389
ATU,-,3FTx,Micrurus_ tener,Elapidae,11.37284,-0.8129331,3.8583426
ATV,-,3FTx,Micrurus_ tener,Elapidae,11.663881,-0.77936715,3.5958571
ATW,-,3FTx,Micrurus_ tener,Elapidae,11.531368,-0.6593759,3.5917292
ATX,-,3FTx,Micrurus altirostris,Elapidae,10.584107,2.5875454,3.2036557
ATY,-,3FTx,Micrurus fulvius,Elapidae,10.720998,2.593119,3.333528
ATZ,-,Ly-6,Xenopus tropicalis,Anura,-0.8140048,7.715502,-1.529225
AUA,-,Ly-6,Phascolarctos cinctus,Marsupials,-0.95943063,8.590433,-1.61315
AUB,-,3FTx,Micrurus_ tener,Elapidae,10.719452,2.8103282,3.4665813
AUC,-,3FTx,Calliophis bivirgatus,Elapidae,10.624649,-0.4283912,5.3010488
AUD,-,3FTx,Calliophis bivirgatus,Elapidae,10.542391,-0.23506616,5.784871
AUE,-,3FTx,Calliophis bivirgatus,Elapidae,10.687732,-0.15632217,5.926056
AUF,-,3FTx,Calliophis bivirgatus,Elapidae,10.719106,-0.35344306,5.733625
AUG,-,3FTx,Calliophis bivirgatus,Elapidae,10.645345,-0.32358998,5.80821
AUH,-,3FTx,Calliophis bivirgatus,Elapidae,10.658759,-0.45618704,5.7083793
AUI,-,3FTx,Calliophis bivirgatus,Elapidae,10.761644,-0.6126871,5.60267
AUJ,-,3FTx,Calliophis bivirgatus,Elapidae,10.591942,-0.57994163,5.6513343
AUK,-,3FTx,Calliophis bivirgatus,Elapidae,10.442358,-1.1755688,6.8901377
AUL,-,Ly-6,Xenopus tropicalis,Anura,0.34838247,9.058785,-1.812929
AUM,-,3FTx,Calliophis bivirgatus,Elapidae,10.542073,-1.4688123,7.319197
AUN,-,3FTx,Calliophis bivirgatus,Elapidae,10.596077,-0.9474899,6.3253856
AUO,-,3FTx,Calliophis bivirgatus,Elapidae,10.373986,-1.3023574,7.3422284
AUP,-,3FTx,Calliophis bivirgatus,Elapidae,10.464355,-1.4551903,7.3174357
AUQ,-,3FTx,Calliophis bivirgatus,Elapidae,10.607554,-1.7832519,7.7569804
AUR,-,3FTx,Calliophis bivirgatus,Elapidae,10.634366,-1.82225,7.790875
AUS,-,3FTx,Calliophis bivirgatus,Elapidae,10.671227,-1.7387209,7.8151765
AUT,-,3FTx,Calliophis bivirgatus,Elapidae,10.57291,-0.7647766,5.943579
AUU,-,3FTx,Calliophis bivirgatus,Elapidae,11.1092615,-0.850875,3.6261895
AUV,-,3FTx,Calliophis bivirgatus,Elapidae,11.208605,-0.9533775,3.328975
AUW,-,Ly-6,Xenopus tropicalis,Anura,0.18714786,9.019479,-1.579139
AUX,-,3FTx,Calliophis bivirgatus,Elapidae,11.261646,-0.38069662,3.313507
AUY,-,3FTx,Calliophis bivirgatus,Elapidae,10.345381,-2.34618,8.757621
AUZ,-,3FTx,Calliophis bivirgatus,Elapidae,10.50147,-2.7480888,8.979199
AVA,-,3FTx,Micrurus altirostris,Elapidae,9.591666,2.547756,-0.4794864
AVB,-,3FTx,Micrurus_ tener,Elapidae,9.740555,2.5147142,-0.3620601
AVC,-,3FTx,Micrurus_ tener,Elapidae,9.764101,2.3153203,-0.3132667
AVD,-,3FTx,Micrurus browni,Elapidae,9.515123,2.3128378,-0.28048414
AVE,-,3FTx,Micrurus corallinus,Elapidae,9.740608,2.4453187,-0.30723363
AVF,-,3FTx,Micrurus_ tener,Elapidae,9.61727,2.3790817,-0.1544064
AVG,-,3FTx,Micrurus fulvius,Elapidae,9.862057,2.3357282,-0.3157962
AVH,-,Ly-6,Varanus komodoensis,Anguimorpha,9.513547,6.5151005,7.466897
AVI,-,3FTx,Micrurus_ tener,Elapidae,11.335279,3.3262136,7.1590858
AVJ,-,3FTx,Micrurus fulvius,Elapidae,10.594087,1.5979898,3.9229352
AVK,-,3FTx,Micrurus browni,Elapidae,10.732755,1.6166943,4.1393623
AVL,-,3FTx,Micrurus diastema,Elapidae,10.834163,1.7769852,4.3612843
AVM,-,3FTx,Micrurus_ tener,Elapidae,10.672175,1.6415901,4.035046
AVN,-,3FTx,Micrurus_ tener,Elapidae,10.67416,1.5548123,4.0158987
AVO,SLURP1 (secreted Ly-6/uPAR-related protein 1),Ly-6,Homo sapiens,Placentalia,9.935406,7.1139116,7.266098
AVP,-,Ly-6,Gallus gallus,Galliformes,-0.797869,7.193498,-2.8203344
AVQ,-,Ly-6,Alligator sinensis,Crocodilia,-0.6714413,7.5294824,-2.691693
AVR,-,Ly-6,Ornithorhynchus anatinus,Monotremata,-0.3976186,7.132137,-2.1486075
AVS,-,snake genomic,Naja naja,Elapidae,-0.55908847,8.017763,-2.717874
AVT,-,snake genomic,Pseudonaja textilis,Elapidae,-0.5805629,7.9516206,-2.8409922
AVU,-,Ly-6,Gallus gallus,Galliformes,-0.71096,7.8647733,-2.864825
AVV,-,Ly-6,Phascolarctos cinctus,Marsupials,-0.59517336,8.068597,-1.4895395
AVW,-,Ly-6,Phascolarctos cinctus,Marsupials,-0.6528793,7.705862,-2.6463733
AVX,-,Ly-6,Chelonia mydas,Testudines,-0.8594066,7.85386,-2.755469
AVY,LYPD2,Ly-6,Homo sapiens,Placentalia,-0.90085274,7.1579437,-2.5072916
AVZ,-,Ly-6,Ornithorhynchus anatinus,Monotremata,-0.9014193,7.2545686,-2.3829074
AWA,-,Ly-6,Alligator sinensis,Crocodilia,-0.7650114,7.419228,-2.5340517
AWB,-,Ly-6,Pogona vitticeps,Agamidae,-0.70281464,7.7935266,-2.7935333
AWC,-,Ly-6,Anolis carolinensis,Dactyloidae,-0.76913476,7.878741,-2.9675236
AWD,-,Ly-6,Varanus komodoensis,Anguimorpha,-0.8502816,6.980857,-2.2780905
AWE,-,Ly-6,Chelonia mydas,Testudines,-0.8110906,7.201033,-2.6483574
AWF,-,Ly-6,Anolis carolinensis,Dactyloidae,-0.94879645,7.388565,-2.61954
AWG,-,Ly-6,Pogona vitticeps,Agamidae,-0.98716503,8.741796,-2.168113
AWH,-,Ly-6,Ornithorhynchus anatinus,Monotremata,-0.70171845,6.974969,-1.9555141
AWI,-,snake genomic,Pseudonaja textilis,Elapidae,-0.65103793,7.2676435,-2.3019009
AWJ,-,snake genomic,Protobothrops mucrosquamatus,Viperidae,-0.92757374,7.2481413,-2.3030515
AWK,-,snake genomic,Python bivittatus,Pythonidae,-0.75912917,7.022507,-2.1285896
AWL,-,Ly-6,Phascolarctos cinctus,Marsupials,-0.67018014,8.862432,-2.43392
AWM,-,Ly-6,Anolis carolinensis,Dactyloidae,-1.219421,8.929665,-1.8654566
