mapped_id,original_id,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study
AIZ,sp|P01426|3S11_NAJPA Short neurotoxin 1 OS=Naja pallida OX=8658 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Naja pallida ,Elapidae
AJA,sp|P01424|3S11_NAJME Short neurotoxin 1 OS=Naja melanoleuca OX=8643 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Naja melanoleuca ,Elapidae
AJB,sp|P80958|3S1CC_NAJAT Cobrotoxinb OS=Naja atra OX=8656 PE=1 SV=2,Cobrotoxinb ,3FTx,Naja atra ,Elapidae
AJC,sp|P59275|3S1B_NAJKA Cobrotoxinb OS=Naja kaouthia OX=8649 PE=1 SV=1,Cobrotoxinb ,3FTx,Naja kaouthia ,Elapidae
AJD,sp|P59276|3S1C_NAJKA Cobrotoxinc OS=Naja kaouthia OX=8649 PE=1 SV=1,Cobrotoxinc ,3FTx,Naja kaouthia ,Elapidae
AJE,sp|P60773|3S11_NAJPH Short neurotoxin 1 OS=Naja philippinensis OX=8659 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Naja philippinensis ,Elapidae
AJF,sp|P60772|3S15_NAJSP Neurotoxin 5 OS=Naja sputatrix OX=33626 PE=1 SV=1,Neurotoxin 5 ,3FTx,Naja sputatrix ,Elapidae
AJG,sp|A0A2P1BSU3|3SX3_MICMP Mipartoxin3 OS=Micrurus mipartitus OX=430902 PE=2 SV=1,Mipartoxin3 ,3FTx,Micrurus mipartitus ,Elapidae
AJH,sp|P86094|3SX_MICSU Short neurotoxin MS11 OS=Micrurus surinamensis OX=129470 PE=1 SV=1,Short neurotoxin MS11 ,3FTx,Micrurus surinamensis ,Elapidae
AJI,"Vako6 Varanus komodoensis strain SLA01 unplaced genomic scaffold, ASM479886v1 scaffold78, whole genome shotgun sequence",-,Ly-6,Varanus komodoensis,Anguimorpha
AJJ,sp|K9MCX0|3SX2_MICLL Threefinger toxin A2 OS=Micrurus laticollaris OX=1240351 PE=3 SV=1,Threefinger toxin A2 ,3FTx,Micrurus laticollaris ,Elapidae
AJK,sp|F5CPE2|3SX3_MICAT Threefinger toxin MALT0063C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Threefinger toxin MALT0063C ,3FTx,Micrurus altirostris ,Elapidae
AJL,sp|F5CPE0|3SX9_MICAT Threefinger toxin MALT0059C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Threefinger toxin MALT0059C ,3FTx,Micrurus altirostris ,Elapidae
AJM,sp|P86421|3SX2_MICFR Frontoxin II OS=Micrurus frontalis OX=129461 PE=1 SV=1,Frontoxin II ,3FTx,Micrurus frontalis ,Elapidae
AJN,sp|C6JUP1|3SX1_MICCO Threefinger toxin 3FTx1 OS=Micrurus corallinus OX=54390 PE=1 SV=1,Threefinger toxin 3FTx1 ,3FTx,Micrurus corallinus ,Elapidae
AJO,sp|U3EPL2|3SXB_MICFL Threefinger toxin 3b OS=Micrurus fulvius OX=8637 PE=3 SV=1,Threefinger toxin 3b ,3FTx,Micrurus fulvius ,Elapidae
AJP,sp|B3EWF8|3SX1_MICMP Mipartoxin1 OS=Micrurus mipartitus OX=430902 PE=1 SV=2,Mipartoxin1 ,3FTx,Micrurus mipartitus ,Elapidae
AJQ,sp|A0A2P1BST7|3SX1A_MICMP Mipartoxin1A OS=Micrurus mipartitus OX=430902 PE=2 SV=1,Mipartoxin1A ,3FTx,Micrurus mipartitus ,Elapidae
AJR,sp|A0A2P1BSS9|3SX2_MICMP Mipartoxin2 OS=Micrurus mipartitus OX=430902 PE=2 SV=1,Mipartoxin2 ,3FTx,Micrurus mipartitus ,Elapidae
AJS,sp|A7X4T2|3SX6_OXYMI Threefinger toxin 3FTxOxy6 OS=Oxyuranus microlepidotus OX=111177 PE=3 SV=1,Threefinger toxin 3FTxOxy6 ,3FTx,Oxyuranus microlepidotus ,Elapidae
AJT,"Anca_6 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AJU,sp|P0DL82|3SXNA_CALBG DeltaelapitoxinCb1a OS=Calliophis bivirgatus OX=8633 PE=1 SV=1,DeltaelapitoxinCb1a ,3FTx,Calliophis bivirgatus ,Elapidae
AJV,sp|P86422|3S13_MICFR Frontoxin III OS=Micrurus frontalis OX=129461 PE=1 SV=1,Frontoxin III ,3FTx,Micrurus frontalis ,Elapidae
AJW,sp|P01407|3SIY_DENJA Synergistictype venom protein S2C4 OS=Dendroaspis jamesoni kaimosae OX=8619 PE=1 SV=1,Synergistictype venom protein S2C4 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AJX,"sp|P01411|3SIY2_DENAN Synergistictype venom protein C8S2, chain 2 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1",Synergistictype venom protein C8S2,3FTx,Dendroaspis angusticeps ,Elapidae
AJY,"sp|P01409|3SIY4_DENAN Synergistictype venom protein C9S3, chain 2 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1",Synergistictype venom protein C9S3,3FTx,Dendroaspis angusticeps ,Elapidae
AJZ,sp|P17696|3SIYL_DENAN Synergisticlike venom protein OS=Dendroaspis angusticeps OX=8618 PE=3 SV=1,Synergisticlike venom protein ,3FTx,Dendroaspis angusticeps ,Elapidae
AKA,"sp|P01408|3SIY3_DENAN Synergistictype venom protein C9S3, chain 1 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1",Synergistictype venom protein C9S3,3FTx,Dendroaspis angusticeps ,Elapidae
AKB,"sp|P01410|3SIY1_DENAN Synergistictype venom protein C8S2, chain 1 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1",Synergistictype venom protein C8S2,3FTx,Dendroaspis angusticeps ,Elapidae
AKC,sp|Q53B49|3SI35_OPHHA Short neurotoxin OH35 OS=Ophiophagus hannah OX=8665 PE=1 SV=1,Short neurotoxin OH35 ,3FTx,Ophiophagus hannah ,Elapidae
AKD,sp|P18328|3SIM2_DENAN Muscarinic toxin 2 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Muscarinic toxin 2 ,3FTx,Dendroaspis angusticeps ,Elapidae
AKE,"Povi_6 Pogona vitticeps unplaced genomic scaffold, pvi1.1.0 contig9221, whole genome shotgun sequence",-,Ly-6,Pogona vitticeps,Agamidae
AKF,sp|P60234|3SI12_DENAN Muscarinic m1toxin2 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Muscarinic m1toxin2 ,3FTx,Dendroaspis angusticeps ,Elapidae
AKG,sp|Q8QGR0|3SIM7_DENAN Muscarinic toxin 7 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Muscarinic toxin 7 ,3FTx,Dendroaspis angusticeps ,Elapidae
AKH,sp|P0DQQ3|3SUC1_NAJME Muscarinic toxinlike protein TxNM32 OS=Naja melanoleuca OX=8643 PE=1 SV=1,Muscarinic toxinlike protein TxNM32 ,3FTx,Naja melanoleuca ,Elapidae
AKI,sp|P82463|3SUC2_NAJKA Muscarinic toxinlike protein 2 OS=Naja kaouthia OX=8649 PE=1 SV=1,Muscarinic toxinlike protein 2 ,3FTx,Naja kaouthia ,Elapidae
AKJ,sp|P80494|3SIMA_DENPO Muscarinic toxin alpha OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Muscarinic toxin alpha ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AKK,sp|P81030|3SIM1_DENAN Muscarinic toxin 1 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Muscarinic toxin 1 ,3FTx,Dendroaspis angusticeps ,Elapidae
AKL,sp|Q9PSN1|3SIM4_DENAN Muscarinic toxin 4 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Muscarinic toxin 4 ,3FTx,Dendroaspis angusticeps ,Elapidae
AKM,sp|P86419|3SI1B_DENAN RhoelapitoxinDa1b OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,RhoelapitoxinDa1b ,3FTx,Dendroaspis angusticeps ,Elapidae
AKN,sp|P81031|3SIM3_DENAN Muscarinic toxin 3 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=2,Muscarinic toxin 3 ,3FTx,Dendroaspis angusticeps ,Elapidae
AKO,sp|P25518|3SI3_DENPO Adrenergic toxin rhoelapitoxinDp1b OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Adrenergic toxin rhoelapitoxinDp1b ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AKP,"Alsi_9 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AKQ,sp|P85092|3SI1A_DENAN Toxin AdTx1 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Toxin AdTx1 ,3FTx,Dendroaspis angusticeps ,Elapidae
AKR,sp|P80495|3SIMB_DENPO Adrenergic toxin rhoelapitoxinDp1a OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Adrenergic toxin rhoelapitoxinDp1a ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AKS,sp|C0HJB0|3SX3_DENAN Mambalgin3 OS=Dendroaspis angusticeps OX=8618 PE=1 SV=1,Mambalgin3 ,3FTx,Dendroaspis angusticeps ,Elapidae
AKT,sp|P0DKR6|3SX1_DENPO Mambalgin1 OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Mambalgin1 ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AKU,sp|P0DKS3|3SX2_DENPO Mambalgin2 OS=Dendroaspis polylepis polylepis OX=8620 PE=1 SV=1,Mambalgin2 ,3FTx,Dendroaspis polylepis polylepis ,Elapidae
AKV,sp|Q53B47|3SX5_OPHHA Short neurotoxin OH5 OS=Ophiophagus hannah OX=8665 PE=1 SV=1,Short neurotoxin OH5 ,3FTx,Ophiophagus hannah ,Elapidae
AKW,sp|P83302|3SX1_OPHHA Neurotoxin Oh91 OS=Ophiophagus hannah OX=8665 PE=1 SV=1,Neurotoxin Oh91 ,3FTx,Ophiophagus hannah ,Elapidae
AKX,sp|Q2VBP2|3SX6_OPHHA Short neurotoxin SNTX6 OS=Ophiophagus hannah OX=8665 PE=3 SV=1,Short neurotoxin SNTX6 ,3FTx,Ophiophagus hannah ,Elapidae
AKY,sp|Q2VBP0|3SXE_OPHHA Short neurotoxin SNTX14 OS=Ophiophagus hannah OX=8665 PE=3 SV=1,Short neurotoxin SNTX14 ,3FTx,Ophiophagus hannah ,Elapidae
AKZ,sp|Q53B48|3SX7_OPHHA Short neurotoxin OH46 OS=Ophiophagus hannah OX=8665 PE=3 SV=1,Short neurotoxin OH46 ,3FTx,Ophiophagus hannah ,Elapidae
ALA,"Gaga_8 Gallus gallus isolate RJF #256 breed Red Jungle fowl, inbred line UCD001 chromosome 2, Gallus_gallus5.0, whole genome shotgun sequence",-,Ly-6,Gallus gallus,Galliformes
ALB,sp|Q2VBN9|3SXQ_OPHHA Short neurotoxin SNTX26 OS=Ophiophagus hannah OX=8665 PE=3 SV=1,Short neurotoxin SNTX26 ,3FTx,Ophiophagus hannah ,Elapidae
ALC,sp|Q53B52|3SXZ_OPHHA Short neurotoxin OH26 OS=Ophiophagus hannah OX=8665 PE=1 SV=1,Short neurotoxin OH26 ,3FTx,Ophiophagus hannah ,Elapidae
ALD,sp|Q53B50|3SX2_OPHHA Short neurotoxin OH32 OS=Ophiophagus hannah OX=8665 PE=3 SV=1,Short neurotoxin OH32 ,3FTx,Ophiophagus hannah ,Elapidae
ALE,sp|P0DSN0|3SX_NAJKA Nakoroxin OS=Naja kaouthia OX=8649 PE=1 SV=1,Nakoroxin ,3FTx,Naja kaouthia ,Elapidae
ALF,sp|P25678|3SOK2_NAJHA Weak toxin CM2a OS=Naja annulifera OX=96794 PE=1 SV=1,Weak toxin CM2a ,3FTx,Naja annulifera ,Elapidae
ALG,sp|P25677|3SOK3_NAJHA Weak toxin CM3 OS=Naja annulifera OX=96794 PE=1 SV=1,Weak toxin CM3 ,3FTx,Naja annulifera ,Elapidae
ALH,sp|P0DQH2|3SOKA_HEMHA Exactin OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Exactin ,3FTx,Hemachatus haemachatus ,Elapidae
ALI,sp|P01402|3SOK1_HEMHA Weak toxin CM1b OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Weak toxin CM1b ,3FTx,Hemachatus haemachatus ,Elapidae
ALJ,sp|P01398|3LKB_BUNMU Kappa-bungarotoxin OS=Bungarus multicinctus OX=8616 PE=1 SV=2,Kappa-bungarotoxin ,3FTx,Bungarus multicinctus ,Elapidae
ALK,sp|P01391|3L21_NAJKA Alpha-cobratoxin OS=Naja kaouthia OX=8649 PE=1 SV=1,Alpha-cobratoxin ,3FTx,Naja kaouthia ,Elapidae
ALL,"Vako10 Varanus komodoensis strain SLA01 unplaced genomic scaffold, ASM479886v1 scaffold78, whole genome shotgun sequence",-,Ly-6,Varanus komodoensis,Anguimorpha
ALM,"Hosa_2 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LY6K,Ly-6,Homo sapiens,Placentalia
ALN,Telescopus_dhara_A7X3S5,-,3FTx,Telescopus dhara,Colubridae
ALO,Telescopus_dhara_A7X3S8,-,3FTx,Telescopus dhara,Colubridae
ALP,Boiga_dendrophila_dendrophila_3FTx_23,-,3FTx,Boiga dendrophila dendrophila,Colubridae
ALQ,Boiga_nigriceps_3FTx_01,-,3FTx,Boiga nigriceps,Colubridae
ALR,Boiga_dendrophila_dendrophila_3FTx_24,-,3FTx,Boiga dendrophila dendrophila,Colubridae
ALS,Boiga_trigonata_3FTx_04,-,3FTx,Boiga trigonata,Colubridae
ALT,Boiga_trigonata_3FTx_01,-,3FTx,Boiga trigonata,Colubridae
ALU,Boiga_dendrophila_dendrophila_3FTx_04,-,3FTx,Boiga dendrophila dendrophila,Colubridae
ALV,Boiga_dendrophila_dendrophila_3FTx_25,-,3FTx,Boiga dendrophila dendrophila,Colubridae
ALW,Boiga_dendrophila_gemmicincta_3FTx_00,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
ALX,"Chmy_12 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
ALY,Boiga_dendrophila_dendrophila_3FTx_17,-,3FTx,Boiga dendrophila dendrophila,Colubridae
ALZ,Boiga_dendrophila_gemmicincta_3FTx_02,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AMA,Boiga_dendrophila_gemmicincta_3FTx_04,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AMB,Boiga_dendrophila_gemmicincta_3FTx_03,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AMC,Boiga_dendrophila_gemmicincta_3FTx_01,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AMD,Boiga_dendrophila_dendrophila_3FTx_18,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AME,Boiga_dendrophila_dendrophila_3FTx_02,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AMF,Boiga_dendrophila_dendrophila_3FTx_01,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AMG,Boiga_dendrophila_dendrophila_3FTx_03,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AMH,Boiga_nigriceps_3FTx_02,-,3FTx,Boiga nigriceps,Colubridae
AMI,"Xetr_9 Xenopus tropicalis strain Nigerian chromosome 6, Xenopus_tropicalis_v9.1, whole genome shotgun sequence",-,Ly-6,Xenopus tropicalis,Anura
AMJ,Boiga_irregularis_Brisbane_3FTx_00,-,3FTx,Boiga irregularis,Colubridae
AMK,Boiga_irregularis_A0A193CHL9,-,3FTx,Boiga irregularis,Colubridae
AML,Boiga_irregularis_A0A0B8RYW2,-,3FTx,Boiga irregularis,Colubridae
AMM,Boiga_irregularis_A0A0B8RZW9,-,3FTx,Boiga irregularis,Colubridae
AMN,Boiga_irregularis_Sulawesi_3FTx_05,-,3FTx,Boiga irregularis,Colubridae
AMO,Boiga_irregularis_A0A193CHL4,-,3FTx,Boiga irregularis,Colubridae
AMP,Boiga_irregularis_Sulawesi_3FTx_03,-,3FTx,Boiga irregularis,Colubridae
AMQ,Boiga_irregularis_Sulawesi_3FTx_01,-,3FTx,Boiga irregularis,Colubridae
AMR,Boiga_irregularis_A0A0B8RS37,-,3FTx,Boiga irregularis,Colubridae
AMS,Boiga_irregularis_A0A0B8RSY6,-,3FTx,Boiga irregularis,Colubridae
AMT,"Hosa_1 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",PSCA (prostate stem cell antigen),Ly-6,Homo sapiens,Placentalia
AMU,Boiga_irregularis_A0A0B8RYX1,-,3FTx,Boiga irregularis,Colubridae
AMV,Boiga_irregularis_Sulawesi_3FTx_02,-,3FTx,Boiga irregularis,Colubridae
AMW,Boiga_irregularis_A0A0B8RZY0,-,3FTx,Boiga irregularis,Colubridae
AMX,Boiga_irregularis_A0A0B8RSZ3,-,3FTx,Boiga irregularis,Colubridae
AMY,Boiga_irregularis_A0A0B8RVC5,-,3FTx,Boiga irregularis,Colubridae
AMZ,Boiga_irregularis_Sulawesi_3FTx_04,-,3FTx,Boiga irregularis,Colubridae
ANA,Boiga_irregularis_A0A0B8RS48,-,3FTx,Boiga irregularis,Colubridae
ANB,Boiga_irregularis_Brisbane_3FTx_06,-,3FTx,Boiga irregularis,Colubridae
ANC,Boiga_irregularis_A0A193CHL6,-,3FTx,Boiga irregularis,Colubridae
AND,Boiga_irregularis_Brisbane_3FTx_07,-,3FTx,Boiga irregularis,Colubridae
ANE,"Alsi_1 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
ANF,Boiga_irregularis_Brisbane_3FTx_08,-,3FTx,Boiga irregularis,Colubridae
ANG,Boiga_dendrophila_dendrophila_3FTx_14,-,3FTx,Boiga dendrophila dendrophila,Colubridae
ANH,Boiga_nigriceps_3FTx_06,-,3FTx,Boiga nigriceps,Colubridae
ANI,Boiga_irregularis_A0A0B8RZX5,-,3FTx,Boiga irregularis,Colubridae
ANJ,Boiga_irregularis_Sulawesi_3FTx_13,-,3FTx,Boiga irregularis,Colubridae
ANK,Boiga_irregularis_A0A0B8RVB2,-,3FTx,Boiga irregularis,Colubridae
ANL,Boiga_irregularis_A0A0B8RVB7,-,3FTx,Boiga irregularis,Colubridae
ANM,Boiga_irregularis_Brisbane_3FTx_03,-,3FTx,Boiga irregularis,Colubridae
ANN,Boiga_irregularis_A0A0B8RYX5,-,3FTx,Boiga irregularis,Colubridae
ANO,Boiga_irregularis_A0A0B8RS42,-,3FTx,Boiga irregularis,Colubridae
ANP,"Gaga_1 Gallus gallus isolate RJF #256 breed Red Jungle fowl, inbred line UCD001 chromosome 2, Gallus_gallus5.0, whole genome shotgun sequence",-,Ly-6,Gallus gallus,Galliformes
ANQ,Oxybelis_fulgidus_A0A193CHK9,-,3FTx,Oxybelis fulgidus,Colubridae
ANR,Trimorphodon_lambda_A0A193CHM1,-,3FTx,Trimorphodon lambda,Colubridae
ANS,Boiga_dendrophila_dendrophila_3FTx_08,-,3FTx,Boiga dendrophila dendrophila,Colubridae
ANT,Boiga_dendrophila_dendrophila_3FTx_13,-,3FTx,Boiga dendrophila dendrophila,Colubridae
ANU,Boiga_dendrophila_gemmicincta_3FTx_05,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
ANV,Boiga_dendrophila_dendrophila_3FTx_05,-,3FTx,Boiga dendrophila dendrophila,Colubridae
ANW,Boiga_dendrophila_dendrophila_3FTx_11,-,3FTx,Boiga dendrophila dendrophila,Colubridae
ANX,Boiga_dendrophila_dendrophila_3FTx_28,-,3FTx,Boiga dendrophila dendrophila,Colubridae
ANY,Boiga_dendrophila_gemmicincta_3FTx_09,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
ANZ,Boiga_dendrophila_dendrophila_3FTx_41,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AOA,Boiga_dendrophila_dendrophila_3FTx_40,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AOB,Boiga_dendrophila_dendrophila_3FTx_16,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AOC,Boiga_dendrophila_dendrophila_3FTx_06,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AOD,Boiga_dendrophila_dendrophila_3FTx_07,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AOE,Boiga_dendrophila_dendrophila_3FTx_12,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AOF,Boiga_trigonata_3FTx_05,-,3FTx,Boiga trigonata,Colubridae
AOG,Boiga_cynodon_A0A193CHL1,-,3FTx,Boiga cynodon,Colubridae
AOH,Boiga_irregularis_A0A0B8RYY0,-,3FTx,Boiga irregularis,Colubridae
AOI,Boiga_irregularis_A0A0B8RSZ0,-,3FTx,Boiga irregularis,Colubridae
AOJ,Boiga_irregularis_A0A0B8RVB9,-,3FTx,Boiga irregularis,Colubridae
AOK,Boiga_irregularis_A0A0B8RZX6,-,3FTx,Boiga irregularis,Colubridae
AOL,Boiga_irregularis_A0A0B8RYY3,-,3FTx,Boiga irregularis,Colubridae
AOM,Boiga_nigriceps_3FTx_03,-,3FTx,Boiga nigriceps,Colubridae
AON,Boiga_nigriceps_3FTx_04,-,3FTx,Boiga nigriceps,Colubridae
AOO,Boiga_irregularis_A0A0B8RS43,-,3FTx,Boiga irregularis,Colubridae
AOP,Boiga_irregularis_A0A0B8RSZ1,-,3FTx,Boiga irregularis,Colubridae
AOQ,Boiga_irregularis_A0A0B8RS45,-,3FTx,Boiga irregularis,Colubridae
AOR,Boiga_irregularis_Sulawesi_3FTx_11,-,3FTx,Boiga irregularis,Colubridae
AOS,Boiga_irregularis_A0A0B8RYY5,-,3FTx,Boiga irregularis,Colubridae
AOT,Boiga_irregularis_Brisbane_3FTx_02,-,3FTx,Boiga irregularis,Colubridae
AOU,Boiga_irregularis_A0A0B8RZX8,-,3FTx,Boiga irregularis,Colubridae
AOV,Boiga_irregularis_Sulawesi_3FTx_08,-,3FTx,Boiga irregularis,Colubridae
AOW,Boiga_irregularis_A0A0B8RS19,-,3FTx,Boiga irregularis,Colubridae
AOX,Boiga_irregularis_Sulawesi_3FTx_09,-,3FTx,Boiga irregularis,Colubridae
AOY,Boiga_irregularis_A0A0B8RZX0,-,3FTx,Boiga irregularis,Colubridae
AOZ,Boiga_irregularis_Sulawesi_3FTx_07,-,3FTx,Boiga irregularis,Colubridae
APA,Boiga_irregularis_Brisbane_3FTx_13,-,3FTx,Boiga irregularis,Colubridae
APB,Boiga_irregularis_A0A0B8RS22,-,3FTx,Boiga irregularis,Colubridae
APC,Boiga_irregularis_A0A0B8RSY0,-,3FTx,Boiga irregularis,Colubridae
APD,Boiga_irregularis_A0A0B8RVA5,-,3FTx,Boiga irregularis,Colubridae
APE,Boiga_irregularis_Sulawesi_3FTx_06,-,3FTx,Boiga irregularis,Colubridae
APF,Boiga_dendrophila_dendrophila_3FTx_34,-,3FTx,Boiga dendrophila dendrophila,Colubridae
APG,Boiga_dendrophila_gemmicincta_3FTx_10,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
APH,Boiga_dendrophila_dendrophila_3FTx_09,-,3FTx,Boiga dendrophila dendrophila,Colubridae
API,Boiga_dendrophila_dendrophila_3FTx_37,-,3FTx,Boiga dendrophila dendrophila,Colubridae
APJ,Boiga_dendrophila_dendrophila_3FTx_38,-,3FTx,Boiga dendrophila dendrophila,Colubridae
APK,Boiga_dendrophila_dendrophila_3FTx_10,-,3FTx,Boiga dendrophila dendrophila,Colubridae
APL,Boiga_nigriceps_A0A193CHL8,-,3FTx,Boiga nigriceps,Colubridae
APM,Boiga_dendrophila_gemmicincta_3FTx_11,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
APN,Boiga_dendrophila_dendrophila_3FTx_33,-,3FTx,Boiga dendrophila dendrophila,Colubridae
APO,Boiga_dendrophila_dendrophila_3FTx_32,-,3FTx,Boiga dendrophila dendrophila,Colubridae
APP,Trimorphodon_lambda_A0A193CHM4,-,3FTx,Trimorphodon lambda,Colubridae
APQ,Trimorphodon_lambda_A0A193CHM5,-,3FTx,Trimorphodon lambda,Colubridae
APR,"Chmy_1 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
APS,"Vako1 Varanus komodoensis strain SLA01 unplaced genomic scaffold, ASM479886v1 scaffold78, whole genome shotgun sequence",-,Ly-6,Varanus komodoensis,Anguimorpha
APT,"Anca_1 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
APU,"Povi_1 Pogona vitticeps unplaced genomic scaffold, pvi1.1.0 contig9221, whole genome shotgun sequence",-,Ly-6,Pogona vitticeps,Agamidae
APV,"Pybi_3 Python bivittatus unplaced genomic scaffold, Python_molurus_bivittatus5.0.2 Scaffold2194, whole genome shotgun sequence",-,snake genomic,Python bivittatus,Pythonidae
APW,"Hosa_13 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LY6L,Ly-6,Homo sapiens,Placentalia
APX,Micrurus_tener_A0A194ARK8,-,3FTx,Micrurus_ tener,Elapidae
APY,Micrurus_tener_A0A194ATD1,-,3FTx,Micrurus_ tener,Elapidae
APZ,Micrurus_browni_A0A0H4IRA8,-,3FTx,Micrurus browni,Elapidae
AQA,Micrurus_browni_A0A0H4IUN8,-,3FTx,Micrurus browni,Elapidae
AQB,Micrurus_diastema_A0A0H4BKJ5,-,3FTx,Micrurus diastema,Elapidae
AQC,Micrurus_fulvius_U3FAF0,-,3FTx,Micrurus fulvius,Elapidae
AQD,Micrurus_diastema_A0A0H4BEG1,-,3FTx,Micrurus diastema,Elapidae
AQE,"Nana_c3_dn_7 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AQF,Micrurus_tener_A0A194APE1,-,3FTx,Micrurus_ tener,Elapidae
AQG,Micrurus_fulvius_U3F5D3,-,3FTx,Micrurus fulvius,Elapidae
AQH,Micrurus_fulvius_A0A0F7Z3S7,-,3FTx,Micrurus fulvius,Elapidae
AQI,Micrurus_fulvius_U3EPM4,-,3FTx,Micrurus fulvius,Elapidae
AQJ,Micrurus_tener_A0A0H4IVQ6,-,3FTx,Micrurus_ tener,Elapidae
AQK,Micrurus_fulvius_U3FAE7,-,3FTx,Micrurus fulvius,Elapidae
AQL,Micrurus_tener_A0A0H4IRB3,-,3FTx,Micrurus_ tener,Elapidae
AQM,Micrurus_tener_A0A194ARB2,-,3FTx,Micrurus_ tener,Elapidae
AQN,Micrurus_tener_A0A194ATA3,-,3FTx,Micrurus_ tener,Elapidae
AQO,Micrurus_tener_A0A194ARH7,-,3FTx,Micrurus_ tener,Elapidae
AQP,"Pste_2 Pseudonaja textilis unplaced genomic scaffold, EBS10Xv2PRI ULFR01000082.1, whole genome shotgun sequence",-,snake genomic,Pseudonaja textilis,Elapidae
AQQ,Micrurus_tener_A0A194ATA6,-,3FTx,Micrurus_ tener,Elapidae
AQR,Micrurus_tener_A0A194ASD1,-,3FTx,Micrurus_ tener,Elapidae
AQS,Micrurus_tener_A0A194APG0,-,3FTx,Micrurus_ tener,Elapidae
AQT,Micrurus_laticollaris_A0A0G3YLL2,-,3FTx,Micrurus laticollaris,Elapidae
AQU,Micrurus_fulvius_U3F5E9,-,3FTx,Micrurus fulvius,Elapidae
AQV,Micrurus_tener_A0A194ASE2,-,3FTx,Micrurus_ tener,Elapidae
