mapped_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
P03616,Conus rattus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,9.870644,11.576835,9.987577,-0.5279522,-0.3069055,0.31238738,
P03618,Conus vitulinus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.512996,11.885134,10.616815,-0.5219589,-0.36974317,0.30421564,
P03630,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,9.802784,11.608584,13.087208,-0.8587114,-0.14231947,0.28746933,
P03686,Conus sulcatus,Precursor,conantokin,B1 superfamily,NA,NA,nucleic acid level,10.505848,7.5660944,11.232484,-1.150785,0.39146996,-0.10164482,
P03795,Conus caracteristicus,Precursor,conotoxin,I3 superfamily,NA,NA,nucleic acid level,7.504959,14.359521,10.207333,0.8236938,0.12620664,0.27453408,
P03797,Conus caracteristicus,Precursor,conotoxin,I3 superfamily,NA,NA,nucleic acid level,7.808091,13.803025,10.023964,0.4723531,0.024949612,0.31266835,
P03854,Conus litteratus,Precursor,conotoxin,M superfamily,NA,NA,nucleic acid level,7.71577,13.126891,9.462046,0.46258405,-0.1297871,0.6303473,
P03856,Conus eburneus,Precursor,conotoxin,M superfamily,NA,NA,nucleic acid level,7.6597943,13.127331,9.70657,0.41782746,-0.07640178,0.6030297,
P03895,Conus spurius,Precursor,conotoxin,I2 superfamily,NA,NA,nucleic acid level,7.741218,14.29566,11.158991,0.8257796,0.13269296,0.44634876,
P03896,Conus spurius,Precursor,conotoxin,I2 superfamily,NA,NA,nucleic acid level,7.7926993,14.231544,11.00314,0.78536236,0.19084986,0.5446977,
P03962,Conus californicus,Precursor,conkunitzin,Divergent MTFLLLLVSV,NA,NA,nucleic acid level,3.7891808,12.527994,11.58474,1.3722402,0.94085383,0.6967969,
P04204,Conus pulicarius,Precursor,conotoxin,M superfamily,NA,III,nucleic acid level,12.82473,11.64829,6.662604,0.32582235,-0.7017206,-0.68011236,
P04206,Conus pulicarius,Precursor,conotoxin,M superfamily,NA,III,nucleic acid level,12.184938,11.9165325,6.720803,0.09405282,-0.76778364,-0.5530321,
P04219,Conus vitulinus,Precursor,unclassified,M superfamily,NA,NA,nucleic acid level,9.09556,11.771632,7.827176,-0.3154546,-0.49314818,-0.009553624,
P04221,Conus geographus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.7367525,6.6594305,5.945261,-0.30639774,-0.4376822,-0.44887498,
P04242,Conus fulmen,Precursor,conotoxin,NA,NA,NA,nucleic acid level,7.0259266,13.867709,10.747851,0.5133696,0.93845105,0.75983024,
P04504,Conus eburneus,Precursor,conotoxin,L superfamily,NA,NA,nucleic acid level,8.438176,12.584779,8.540244,0.4513053,-0.25487238,0.091571674,
P04506,Conus eburneus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.50467,9.247413,8.966315,-1.1487298,-0.08078965,-0.3210076,
P04508,Conus eburneus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.9330347,17.268835,11.667461,1.1838026,0.4511185,-0.31146505,
P04510,Conus virgo,Precursor,conotoxin,I2 superfamily,NA,NA,nucleic acid level,7.6118445,14.537665,11.130828,1.1822771,0.31581283,0.55518836,
P04522,Conus imperialis,Precursor,conotoxin,I2 superfamily,NA,NA,nucleic acid level,7.7645516,14.155264,10.832177,0.44959816,0.34903327,0.7038571,
P04541,Conus litteratus,Precursor,conotoxin,D superfamily,NA,XXVIII,nucleic acid level,9.162825,11.18535,12.297935,-0.93506616,0.15281327,0.21655764,
P04542,Conus litteratus,Precursor,conotoxin,D superfamily,NA,XXVIII,nucleic acid level,9.19815,10.885568,12.0310755,-0.9913943,0.16554452,0.14155513,
P04543,Conus litteratus,Precursor,conotoxin,D superfamily,NA,XXVIII,nucleic acid level,9.108332,10.879613,11.948123,-0.9451443,0.12192209,0.19483587,
P04545,Conus litteratus,Precursor,conotoxin,D superfamily,NA,XXVIII,nucleic acid level,9.087116,10.975868,12.037305,-0.9410533,0.15736142,0.183967,
P04546,Conus litteratus,Precursor,conotoxin,D superfamily,NA,XXVIII,nucleic acid level,9.118663,10.989917,12.0508375,-0.9432769,0.15349291,0.13687226,
P04717,Conus betulinus,Precursor,conotoxin,M superfamily,NA,NA,nucleic acid level,9.042801,11.049766,7.582091,-0.2993364,-0.5704452,-0.21942125,
P04796,Conus varius,Precursor,conotoxin,M superfamily,NA,NA,nucleic acid level,9.604657,11.241978,7.0264244,-0.15350994,-0.5785313,-0.18798374,
P04894,Conus vitulinus,Precursor,conotoxin,M superfamily,NA,NA,nucleic acid level,12.037039,11.715602,6.2308865,0.30337918,-0.73738706,-0.5532576,
P04900,Conus varius,Precursor,conotoxin,M superfamily,NA,NA,nucleic acid level,12.010608,11.258863,6.13699,0.22402805,-0.7574746,-0.6004941,
P05221,Conus imperialis,Precursor,conotoxin,K superfamily,NA,XXIII,nucleic acid level,8.099871,9.810476,10.553149,-0.84480244,0.04830743,0.64174044,
P05222,Conus imperialis,Precursor,conotoxin,K superfamily,NA,XXIII,nucleic acid level,8.226994,9.8760605,10.6160345,-0.87475944,0.12741214,0.5150175,
P05534,Conus consors,Precursor,conoporin,NA,NA,NA,protein level,7.153608,12.478742,10.450693,0.70568913,0.75394726,0.56624097,
P05678,Conus pulicarius,Precursor,conantokin,NA,NA,NA,nucleic acid level,10.101253,8.481589,12.3763075,-2.302947,1.2748296,-0.56156135,
P06035,Conus lividus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,7.81003,9.0440445,8.216159,-0.58933663,-0.25136766,-0.10675301,
P06114,Conus caracteristicus,Precursor,conotoxin,T superfamily,NA,V,nucleic acid level,9.716094,10.710052,6.899928,-0.2456819,-0.58732116,-0.36176705,
P06722,Conus miles,Precursor,conotoxin,G2 superfamily,NA,XXVII,nucleic acid level,8.852667,13.565929,9.495435,0.19054879,0.0020742079,0.3824279,
P06725,Conus eburneus,Precursor,conotoxin,NA,NA,NA,nucleic acid level,6.858372,14.269509,10.905182,1.3946918,0.90780884,0.96940714,
P06727,Conus victoriae,Precursor,elvenin,NA,NA,NA,protein level,11.37339,8.913652,8.218744,0.91771275,-0.48468128,-0.28752604,
P06730,Conus victoriae,Precursor,prohormone-4,NA,NA,NA,protein level,7.850993,11.840612,10.201935,-0.09885684,0.013706745,0.6588752,
P06807,Conus frigidus,Precursor,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,4.4739532,17.485205,12.334499,1.4435064,0.23021628,-0.23723912,
P06812,Conus victoriae,Precursor,conorfamide,NA,NA,NA,nucleic acid level,11.491246,8.153618,8.895643,-0.16008645,-0.54775906,-0.2960377,
P06868,Conus victoriae,Precursor,thyrostimulin,NA,NA,NA,nucleic acid level,0.40352657,7.9601007,13.2549515,1.5193543,0.7574894,0.6193916,
P06869,Conus victoriae,Precursor,thyrostimulin,NA,NA,NA,nucleic acid level,0.53416324,8.070935,13.31806,1.7512895,0.71240926,0.6563288,
P06870,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-1.3822814,6.070053,13.129259,0.7070164,0.03944299,0.5414162,
P06871,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-1.354192,6.3109775,12.930474,0.6285429,0.052465476,0.61399424,
P06872,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-1.3020885,5.9850197,12.927791,0.6343697,0.11824027,0.5239889,
P06892,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.7316383,6.556563,12.86412,0.7228001,0.109370664,0.6827767,
P06893,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.91467357,6.5788255,12.971635,0.68716973,0.13650408,0.650209,
P06894,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-1.0617235,6.21891,13.114595,0.8303178,-0.015190893,0.6604561,
P06895,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-1.0515938,6.184516,13.322679,0.886463,-0.024948759,0.67280596,
P06896,Conus tulipa,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-1.1569577,5.919253,12.900993,0.67132765,0.0776697,0.526043,
P06930,Conus tulipa,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-1.271315,5.950467,13.069361,0.6961718,0.01683038,0.5621645,
P06931,Conus tulipa,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-1.2448953,6.2059283,12.926763,0.7392576,-0.02835441,0.5755463,
P06940,Conus textile,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.6633411,6.751542,12.714886,0.88122773,0.1461152,0.5269373,
P06941,Conus marmoreus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.54347146,6.713051,12.712409,0.87410957,0.07549662,0.6239403,
P06942,Conus imperialis,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.7673104,6.705718,13.196008,1.1464429,-0.05868038,0.51219726,
P06943,Conus imperialis,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.8835073,6.678629,12.948307,1.3539366,-0.036887374,0.5803799,
P06944,Conus quercinus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.8512173,6.841085,12.724537,0.9965612,0.11022858,0.5422415,
P06945,Conus quercinus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.8064706,6.800388,12.904341,1.1079826,0.14522658,0.5270581,
P06946,Conus floridulus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.65276617,6.8807616,13.014943,1.0600686,0.17593575,0.45917293,
P06947,Conus floridulus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.69411075,6.831674,12.90526,1.0474846,0.124986954,0.45694026,
P06948,Conus floridulus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.5662058,6.9276123,13.026024,1.0357138,0.121951744,0.44093868,
P06949,Conus floridulus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.6904443,6.723482,13.021048,1.0452874,0.1206446,0.4687789,
P06950,Conus memiae,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,-0.66513187,6.6898127,12.802475,0.8731221,0.105049126,0.5720638,
P07010,Conus vexillum,Precursor,conotoxin,D superfamily,NA,XX,nucleic acid level,10.703025,11.887414,10.089707,-0.13060969,-0.49204195,0.2027025,
P07012,Conus vexillum,Precursor,conantokin,O2 superfamily,NA,VI/VII,nucleic acid level,6.4762077,15.5078125,10.173841,1.4555091,0.20740545,-0.025400488,
P07014,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.558146,8.933593,11.489243,-0.7350368,0.2784581,0.67333466,
P07016,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.809651,9.6665325,11.044464,-0.19255468,0.055118565,0.70237774,
P07017,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.837603,9.848911,10.878455,-0.0905693,0.05049777,0.6879651,
P07019,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.65232,8.642239,11.947546,-1.1493646,0.34733975,0.39019543,
P07020,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.724459,8.828769,11.682476,-1.1221584,0.2804224,0.4734584,
P07022,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.153865,9.252361,10.749198,-0.7052797,0.2861404,0.73759073,
P07023,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.062555,9.223126,10.5281315,-0.63165253,0.27447838,0.76824963,
P07025,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.049234,9.366134,10.909,-0.61783105,0.14212471,0.623498,
P07026,Conus vexillum,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.77009,17.223732,11.021535,1.3814092,0.75036013,-0.41252148,
P07027,Conus vexillum,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,9.453945,10.939866,7.59072,-0.49929142,-0.50479066,-0.30310878,
P07029,Conus vexillum,Precursor,conotoxin,M superfamily,NA,IX,nucleic acid level,9.142715,11.501237,9.841261,-0.4620158,-0.32633066,0.50979716,
P07031,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.038439,10.251083,0.63855857,-0.19424227,-0.45946482,0.1820834,
P07033,Conus vexillum,Precursor,conotoxin,I2 superfamily,NA,NA,nucleic acid level,8.956499,12.265792,10.352065,-0.28782824,-0.1995329,0.57488227,
P07034,Conus vexillum,Precursor,conotoxin,M superfamily,NA,NA,nucleic acid level,12.396715,11.759166,6.4514112,0.38719326,-0.8157175,-0.6738552,
P07035,Conus vexillum,Precursor,conotoxin,M superfamily,NA,NA,nucleic acid level,11.070354,11.2378,6.992091,-0.25361612,-0.52063346,-0.35671774,
P07036,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.486197,12.104698,9.98445,-0.17050518,-0.46455312,0.23552307,
P07037,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.618073,11.935566,10.77616,-0.5102481,-0.36554685,0.30790502,
P07038,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.660213,11.8888645,10.793891,-0.52648914,-0.36231232,0.3363503,
P07039,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.682186,11.757784,10.607369,-0.5219589,-0.36974317,0.30421564,
P07040,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.240269,11.641881,10.730306,-0.52289844,-0.3603456,0.29734725,
P07041,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,11.026648,11.604146,10.410549,-0.55537087,-0.39467275,0.27673632,
P07042,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.870998,11.777545,10.578403,-0.5369958,-0.3580553,0.30475047,
P07043,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.444024,11.91203,10.536773,-0.5175497,-0.3633113,0.27306536,
P07044,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.622374,11.8354025,11.05029,-0.61620367,-0.26376513,0.33108416,
P07045,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.768035,12.010036,10.394901,-0.52520484,-0.3907778,0.26428273,
P07046,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.423481,11.809221,10.350129,-0.4418507,-0.3739314,0.28363243,
P07047,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.185544,11.8149185,10.593586,-0.5340296,-0.34910196,0.35636815,
P07048,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.313392,11.652648,10.807003,-0.5497086,-0.24064611,0.46913916,
P07049,Conus vexillum,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,11.015896,11.64334,10.53738,-0.6642072,-0.33401442,0.26590765,
P07050,Conus vexillum,Precursor,conotoxin,D superfamily,NA,XX,nucleic acid level,9.716695,11.557203,12.681168,-0.84275806,-0.15147337,0.31863892,
P07052,Conus vexillum,Precursor,conotoxin,F superfamily,NA,NA,nucleic acid level,9.212019,8.666104,11.382594,-1.5450934,0.41369954,0.088999406,
P07054,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.0213904,8.167928,11.812632,-0.667527,0.36616617,0.66275567,
P07056,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.2025943,8.123112,11.960329,-0.9676351,0.5937291,0.47478154,
P07058,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.1470013,8.211635,11.643784,-0.64117646,0.33732727,0.638283,
P07060,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.362886,10.0986395,0.7772576,-0.029955255,-0.6165866,0.3118823,
P07062,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.315533,10.29442,0.6330589,-0.07957114,-0.5737088,0.27719048,
P07065,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.441086,10.3690815,0.46427014,-0.01080085,-0.6272647,0.3275273,
P07067,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.007353,10.27233,0.527346,-0.055896856,-0.59752077,0.20786233,
P07069,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,15.932919,10.348406,0.45446932,-0.05483604,-0.62985593,0.3438589,
P07071,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,15.937211,10.332145,0.64999735,0.04655902,-0.680408,0.4145551,
P07073,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,15.846651,10.151706,0.7085847,-0.036001094,-0.6068879,0.2208232,
P07075,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.163609,10.096756,0.5802048,0.12481647,-0.7533466,0.34166107,
P07077,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.15892,9.957782,0.98326683,-0.3206733,-0.81006277,0.09794421,
P07079,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.309458,10.037446,0.78333384,-0.3865631,-0.7875144,0.08641073,
P07081,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.344435,10.242337,0.6550455,0.08115144,-0.75496286,0.2896857,
P07083,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.323019,10.210186,0.75901556,-0.14737585,-0.5235806,0.2557406,
P07085,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,15.866877,10.366985,0.41889516,-0.13080603,-0.5892102,0.3164353,
P07087,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,15.991671,10.16695,0.52398485,0.030550381,-0.6756883,0.40405154,
P07089,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.088291,10.314186,0.51907057,-0.03042189,-0.5729343,0.2101421,
P07091,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.12789,10.291781,0.49600217,-0.20424943,-0.43602556,0.11795002,
P07093,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,15.998841,10.418758,0.7225614,-0.20792429,-0.42455485,0.11904013,
P07095,Conus vexillum,Precursor,conantokin,B2 superfamily,NA,NA,nucleic acid level,16.335222,10.376406,0.5486384,0.117939174,-0.74165654,0.32560945,
P07097,Conus vexillum,Precursor,conotoxin,C superfamily,NA,NA,nucleic acid level,9.458853,9.470235,12.979266,-1.4764217,0.3051433,-0.49198452,
P07098,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,XXI,nucleic acid level,7.246064,8.85622,10.67701,-1.4658355,0.8408579,0.8785945,
P07099,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.25715,8.723991,10.672574,-0.90934396,0.37534827,0.6634011,
P07102,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.9544263,8.791717,11.066842,-0.86400867,0.3230425,0.7688316,
P07103,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.765098,8.684365,11.172115,-0.85504115,0.3229465,0.76218843,
P07105,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.0503836,9.067075,10.708105,-0.885728,0.37132475,0.68826836,
P07107,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,9.484531,8.670746,13.9648075,-1.9915152,0.97811866,-0.6801224,
P07108,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,9.459529,8.866792,14.081803,-1.9045347,0.7616784,-0.563878,
P07110,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,9.630583,8.902475,13.564359,-1.913714,0.97313005,-0.615675,
P07111,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,9.494198,8.838664,13.259282,-1.7509644,0.831184,-0.5214974,
P07113,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.573728,8.85678,11.586413,-0.76289046,0.25045824,0.6808762,
P07114,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.900489,9.165354,11.282949,-0.81138146,0.24604677,0.71152985,
P07116,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.0932794,9.279975,10.573225,-0.6948433,0.2529659,0.7414602,
P07117,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.1799316,9.406848,10.758874,-0.6257101,0.24447764,0.7663138,
P07119,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.9430265,9.090247,11.096951,-0.8077028,0.25082907,0.70898503,
P07120,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.6964083,8.881909,11.434353,-0.76263636,0.25206923,0.6772352,
P07122,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.5215917,9.060937,11.356034,-0.57070345,0.29240963,0.6866064,
P07123,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.9542046,9.312866,10.995892,-0.5473448,0.25470272,0.727067,
P07125,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.438004,9.344602,10.580788,-0.8034208,0.23478332,0.6916467,
P07127,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.244442,8.845373,10.654121,-0.8734799,0.33200535,0.6953115,
P07128,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.1463537,8.977595,10.52069,-0.8011393,0.31727764,0.7095986,
P07130,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,9.380725,8.81134,13.805924,-1.8645451,0.7266566,-0.5784801,
P07132,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.3317413,9.016563,11.436617,-0.2755945,0.073450714,0.46416,
P07134,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,9.609514,8.759793,14.169028,-1.856019,0.68733615,-0.6122529,
P07136,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,9.577342,8.849954,13.635434,-1.8860662,0.9570177,-0.58207726,
P07138,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,9.342163,8.792674,13.574061,-1.8142428,0.9970287,-0.7095783,
P07140,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.860845,8.682403,12.057721,-1.3093151,0.5732768,0.22971164,
P07142,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.7929506,8.683011,11.814891,-1.2894179,0.52387846,0.40215048,
P07143,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.9083276,8.612159,11.865816,-1.235288,0.4436264,0.4808817,
P07145,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.1019845,9.056968,11.073383,-0.96458477,0.42614087,0.63280654,
P07147,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.3730702,8.848238,11.027273,-1.0546403,0.41255644,0.619434,
P07149,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.177041,8.62787,11.521243,-0.3529933,0.3546938,0.85479325,
P07151,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.832564,9.672675,10.892366,-0.27101728,0.09056108,0.68694496,
P07153,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,7.985244,8.797705,11.91275,-1.3619674,0.5993096,0.3454914,
P07155,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.8464713,9.195849,10.721317,-0.7231154,0.29187164,0.7129139,
P07157,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.885679,9.133811,10.672593,-0.7852181,0.3567394,0.7320221,
P07159,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,5.9610696,7.8260384,11.987184,-0.9443709,0.54180795,0.50026464,
P07161,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,5.9546075,7.842614,11.948668,-1.0672389,0.6085309,0.46983194,
P07163,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,5.9072227,7.955296,11.852791,-0.8190598,0.44571683,0.5616157,
P07165,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.1367326,8.282485,11.750256,-0.6867702,0.3593199,0.65286094,
P07167,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.0714946,7.960472,12.0392,-1.0258596,0.63825315,0.48870784,
P07169,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,5.9715705,8.307745,11.71592,-0.63906026,0.45638573,0.58320713,
P07171,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.4143434,8.051213,12.005497,-1.1928732,0.67151976,0.49286002,
P07173,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.308591,7.9789286,11.959952,-1.1690949,0.63253397,0.5203965,
P07175,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,5.9293404,7.972848,11.890622,-1.000934,0.50961244,0.517123,
P07177,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.3877707,8.116315,11.856411,-1.182406,0.6420853,0.5150098,
P07179,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.059918,7.778131,12.138558,-1.1282443,0.65029156,0.36754766,
P07181,Conus vexillum,Precursor,con-ikot-ikot,NA,NA,NA,nucleic acid level,6.0291395,7.904773,12.079446,-0.9602656,0.5932597,0.46677706,
P07183,Conus vexillum,Precursor,conantokin,NA,NA,NA,nucleic acid level,11.764152,7.9550023,9.562539,-0.4481378,-0.54136217,-0.20800991,
P07187,Conus vexillum,Precursor,conantokin,NA,NA,NA,nucleic acid level,11.696565,7.9606333,9.685626,-0.57629305,-0.50275487,-0.25089893,
P07189,Conus vexillum,Precursor,conantokin,NA,NA,NA,nucleic acid level,11.8303385,7.782434,9.332913,-0.20017433,-0.6236183,0.031217659,
P07191,Conus vexillum,Precursor,conantokin,NA,NA,NA,nucleic acid level,11.612996,8.210903,9.656498,-0.5501848,-0.515074,-0.2235203,
P07193,Conus vexillum,Precursor,conantokin,NA,NA,NA,nucleic acid level,10.837386,8.628463,9.681083,-0.8325726,-0.39388776,-0.6887895,
P07195,Conus vexillum,Precursor,conantokin,NA,NA,NA,nucleic acid level,11.799915,7.8592515,9.442229,-0.27820596,-0.5770649,0.06579085,
P07197,Conus vexillum,Precursor,conantokin,NA,NA,NA,nucleic acid level,11.268563,7.8691316,9.147818,-0.51315385,-0.48356125,-0.3238286,
