uid,dset
sPrflGa2,Pla2g2
sPrflGb,Pla2g2
sCratGb,Pla2g2
sCrheAGb,Pla2g2
sCrhoAGb,Pla2g2
sCrscAGb,Pla2g2
sCrscBGb,Pla2g2
sDeacGb,Pla2g2
sPrmuGb,Pla2g2
cAlmiD1,Pla2g2
cCrpoD1,Pla2g2
cGavganD1,Pla2g2
cChmyD1,Pla2g2
cChpiD1,Pla2g2
cGoagD1,Pla2g2
cPesiD1,Pla2g2
cChpiD2,Pla2g2
cGoagD2,Pla2g2
cPesiD2,Pla2g2
mOran2,Pla2g2
cGoagD3,Pla2g2
cChpiD3,Pla2g2
cPesiD3,Pla2g2
cChmyD3,Pla2g2
cAlmiD3,Pla2g2
cAlsiD3,Pla2g2
cCrpoD3,Pla2g2
cGavganD3,Pla2g2
sBocoD,Pla2g2
sLabiD,Pla2g2
sLaviD,Pla2g2
sOpgrDb,Pla2g2
sPoviD,Pla2g2
sCradD,Pla2g2
sCrhoBD,Pla2g2
sNoscD,Pla2g2
sPsteD,Pla2g2
sOphaD,Pla2g2
bPyadD,Pla2g2
bOphoD,Pla2g2
bHaleD,Pla2g2
bCucaD,Pla2g2
bAqchD,Pla2g2
bApfoD,Pla2g2
bCocoD,Pla2g2
bGagaD,Pla2g2
bNaauD,Pla2g2
bSecoD,Pla2g2
bUrpeD,Pla2g2
bStocD,Pla2g2
bAncyD,Pla2g2
bAnplD,Pla2g2
bBareD,Pla2g2
bChmaD,Pla2g2
bPafaD,Pla2g2
bPskrD,Pla2g2
mOran4,Pla2g2
mOranD,Pla2g2
mSahaD,Pla2g2
mModoD,Pla2g2
mPhciDa,Pla2g2
mPhciDb,Pla2g2
mAifuD,Pla2g2
mAimeDb,Pla2g2
mAimeDa,Pla2g2
mCaluD,Pla2g2
mEledD,Pla2g2
mEnluD,Pla2g2
mChlaD,Pla2g2
mCocrD,Pla2g2
mDanoD,Pla2g2
mEreuD,Pla2g2
mFecaD,Pla2g2
mHeglD,Pla2g2
mHosaD,Pla2g2
mLoafD,Pla2g2
mMamaD,Pla2g2
mMimuD,Pla2g2
mMumuD,Pla2g2
mMupuD,Pla2g2
mMyluD,Pla2g2
mNescD,Pla2g2
mOcprD,Pla2g2
mOrcuD,Pla2g2
mPatiD,Pla2g2
mPtvaD,Pla2g2
mSoarD,Pla2g2
mTrmaD,Pla2g2
mUrmaD,Pla2g2
mBibiDa,Pla2g2
mBibiDb,Pla2g2
mBotaDa,Pla2g2
mBotaDb,Pla2g2
mCahiDa,Pla2g2
mCahiDb,Pla2g2
mEqcaD,Pla2g2
mOdviD,Pla2g2
mOrorD,Pla2g2
mOvarD,Pla2g2
mPahoD,Pla2g2
